[ 2026-02-21 17:51:04,437 ] 19 root - INFO - Initiate the data ingestion
[ 2026-02-21 17:51:08,017 ] 63 root - INFO - Performed train test split on the dataframe
[ 2026-02-21 17:51:08,017 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-21 17:51:08,017 ] 73 root - INFO - Exporting train and test file path.
[ 2026-02-21 17:51:08,082 ] 82 root - INFO - Exported train and test file path.
[ 2026-02-21 17:51:08,082 ] 21 root - INFO - Data Ingestion Completed.
[ 2026-02-21 17:51:08,107 ] 25 root - INFO - Initiate the data validation
[ 2026-02-21 17:51:08,166 ] 33 root - INFO - Required number of columns:2
[ 2026-02-21 17:51:08,166 ] 34 root - INFO - Dataframe has columns:31
[ 2026-02-21 17:51:08,166 ] 33 root - INFO - Required number of columns:2
[ 2026-02-21 17:51:08,166 ] 34 root - INFO - Dataframe has columns:31
[ 2026-02-21 17:51:08,321 ] 27 root - INFO - Data Validation Completed
[ 2026-02-21 17:51:08,321 ] 30 root - INFO - Data Transformation started
[ 2026-02-21 17:51:08,321 ] 51 root - INFO - Entered inititiate_data_transformation method of DataTransformation class
[ 2026-02-21 17:51:08,321 ] 53 root - INFO - Starting data transformation
[ 2026-02-21 17:51:08,350 ] 37 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-02-21 17:51:08,350 ] 42 root - INFO - Initialise KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-21 17:51:08,363 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-21 17:51:08,367 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-21 17:51:08,368 ] 34 root - INFO - Data Transformation Completed
[ 2026-02-21 17:51:08,368 ] 36 root - INFO - Model Training stared
[ 2026-02-21 17:54:45,240 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-21 17:54:45,265 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-21 17:54:45,266 ] 111 root - INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_21_2026_17_50_58\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906901436956081, precision_score=0.9872932634126664, recall_score=0.9941104792851341), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9786548530004028, precision_score=0.972, recall_score=0.9854014598540146))
[ 2026-02-21 17:54:45,266 ] 41 root - INFO - Model Training artifact created
